"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-step-size"
"10/03/2022 14:39:12:344 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"239","1","3.86","deterministic","67","17097","6.975709586670417","17.785375282622564","17097","1878","100","17097"
"240","1","3.86","deterministic","67","18862","7.425565375353309","19.540705645672677","18862","2301","100","18862"
"241","1","3.86","deterministic","68","19392","7.295678354450175","12.31807849105871","19392","1413","100","19392"
"242","1","3.86","deterministic","68","13457","7.156767341037809","18.92181025279973","13457","2394","100","13457"
"243","1","3.86","deterministic","69","14685","7.56274759607203","20.99692977166098","14685","2379","100","14685"
"244","1","3.86","deterministic","69","15009","7.310503721967685","21.362485990486096","15009","2562","100","15009"
"245","1","3.86","deterministic","70","14806","7.808432291958596","24.730994555032428","14806","2854","100","14806"
"246","1","3.86","deterministic","70","19693","7.767301325079504","17.032028802133414","19693","1821","100","19693"
"247","1","3.86","deterministic","71","14778","7.510559718788165","21.61390953891472","14778","2566","100","14778"
"248","1","3.86","deterministic","71","16711","6.990895277765967","15.344315608680379","16711","1435","100","16711"
"249","1","3.86","deterministic","72","17672","7.481853121035854","20.412574652170264","17672","2438","100","17672"
"250","1","3.86","deterministic","72","15418","7.922205425637638","12.263989307121214","15418","995","100","15418"
"251","1","3.86","deterministic","73","17994","7.443686899502044","20.74893280439614","17994","2823","100","17994"
"252","1","3.86","deterministic","73","18050","7.634207131216582","14.273356809435494","18050","1405","100","18050"
"253","1","3.86","deterministic","74","17964","7.336530890532947","20.33971615444045","17964","2438","100","17964"
"254","1","3.86","deterministic","74","13322","8.24456019564047","17.201482845932293","13322","1996","100","13322"
"255","1","3.86","deterministic","75","13895","7.650945523956047","14.68032517703125","13895","1436","100","13895"
"258","1","3.86","deterministic","76","13623","7.927944354257716","19.189322130517198","13623","2394","100","13623"
"257","1","3.86","deterministic","76","13747","7.705104119818935","16.93552642092066","13747","2175","100","13747"
"256","1","3.86","deterministic","75","15273","7.764822673364973","16.74254770153839","15273","1681","100","15273"
"260","1","3.86","deterministic","77","12878","7.8955511159130545","9.200206281034108","12878","996","100","12878"
"259","1","3.86","deterministic","77","13051","7.78820947931938","11.173202639868471","13051","994","100","13051"
"261","1","3.86","deterministic","78","13879","7.769534691319025","21.766177098427292","13879","2724","100","13879"
"262","1","3.86","deterministic","78","14981","7.857093948778119","23.0752659874203","14981","2715","100","14981"
"263","1","3.86","deterministic","79","12922","8.08259833930873","17.348730811124998","12922","2197","100","12922"
"266","1","3.86","deterministic","80","12720","7.517621250778852","16.46774766940515","12720","1682","100","12720"
"265","1","3.86","deterministic","80","14522","7.427597954411037","17.873685349805324","14522","1681","100","14522"
