"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-num"
"10/03/2022 22:56:33:974 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"198","1.32","3.82","deterministic","100","6485","11.538384071064065","13.88015455076043","6485","969","100","6485"
"202","1.33","1","deterministic","100","1688","6.469367363649905","23.435046804811783","1688","183","100","1688"
"205","1.34","0","deterministic","100","1620","6.450428854001652","51.4114455618475","1620","45","100","1620"
"206","1.34","0","deterministic","100","1656","15.62160231572602","51.41144556184756","1656","45","100","1656"
"207","1.34","1","deterministic","100","1638","13.680727637181946","8.598808035141671","1638","49","100","1638"
"208","1.34","1","deterministic","100","1471","5.862651744149461","31.3937129631628","1471","232","100","1471"
"204","1.33","3.82","deterministic","100","6939","11.500254294108293","12.860592936110905","6939","890","100","6939"
"211","1.35","0","deterministic","100","1768","23.204537287620244","50.5474579921923","1768","44","100","1768"
"203","1.33","3.82","deterministic","100","9352","12.170634671330617","18.921821780066434","9352","1140","100","9352"
"210","1.34","3.82","deterministic","100","5496","11.66385324649029","15.169753725047265","5496","963","100","5496"
"212","1.35","0","deterministic","100","2005","20.35317482538903","50.54745799219227","2005","44","100","2005"
"213","1.35","1","deterministic","100","1408","10.493697062532526","6.813205240239835","1408","46","100","1408"
"214","1.35","1","deterministic","100","1746","7.22098868160755","6.9933732157096316","1746","46","100","1746"
"209","1.34","3.82","deterministic","100","8085","12.189564471715254","19.274351506637505","8085","1315","100","8085"
"217","1.36","0","deterministic","100","1787","6.291930858946535","50.921883606949265","1787","44","100","1787"
"218","1.36","0","deterministic","100","2335","6.037554363110829","50.92188360694928","2335","44","100","2335"
"219","1.36","1","deterministic","100","1436","8.125437962708185","7.371354735314641","1436","58","100","1436"
"220","1.36","1","deterministic","100","1401","18.771020422250007","6.415922595316811","1401","46","100","1401"
"216","1.35","3.82","deterministic","100","5690","13.367240965569048","17.492602622915683","5690","1123","100","5690"
"215","1.35","3.82","deterministic","100","7294","12.186476822577136","15.684210307117521","7294","924","100","7294"
"223","1.37","0","deterministic","100","1708","26.0634782805173","51.29630922170624","1708","44","100","1708"
"224","1.37","0","deterministic","100","1583","16.69681746152228","51.29630922170624","1583","44","100","1583"
"225","1.37","1","deterministic","100","1840","21.807726898631014","7.916229665013557","1840","49","100","1840"
"226","1.37","1","deterministic","100","1420","23.44744891395512","8.975645274998008","1420","60","100","1420"
"222","1.36","3.82","deterministic","100","6190","11.787435029289812","17.28699157924535","6190","1140","100","6190"
"221","1.36","3.82","deterministic","100","7072","12.827798199799226","12.3786100470804","7072","875","100","7072"
"229","1.38","0","deterministic","100","1439","12.300664238258832","50.39657783619718","1439","43","100","1439"
"230","1.38","0","deterministic","100","1580","23.47046176834223","50.39657783619717","1580","43","100","1580"
"231","1.38","1","deterministic","100","1905","8.242538373447381","7.113915903689174","1905","59","100","1905"
"232","1.38","1","deterministic","100","1428","4.74761416727303","7.911078566114746","1428","58","100","1428"
"228","1.37","3.82","deterministic","100","6390","12.030600433426283","14.418505884557629","6390","878","100","6390"
"227","1.37","3.82","deterministic","100","7005","12.23699337914428","15.78148830756044","7005","886","100","7005"
"236","1.39","0","deterministic","100","1480","12.102087232766285","50.76177042921302","1480","43","100","1480"
"235","1.39","0","deterministic","100","2133","14.79433942721085","50.76177042921306","2133","43","100","2133"
"233","1.38","3.82","deterministic","100","6188","12.072559218258286","11.158635855272784","6188","854","100","6188"
"237","1.39","1","deterministic","100","1446","5.713365304740586","6.860302726063306","1446","45","100","1446"
"238","1.39","1","deterministic","100","1399","5.835570856287532","7.120036817908973","1399","53","100","1399"
"234","1.38","3.82","deterministic","100","6498","12.293326902764054","16.57007228391578","6498","1150","100","6498"
"241","1.4","0","deterministic","100","1567","2.5757210938306168","51.12696302222897","1567","43","100","1567"
"243","1.4","1","deterministic","100","1531","6.721291688754749","5.910988528182621","1531","46","100","1531"
"242","1.4","0","deterministic","100","1847","14.094765654567375","51.126963022229","1847","43","100","1847"
"244","1.4","1","deterministic","100","1493","15.129523547595404","7.467787126150224","1493","45","100","1493"
"240","1.39","3.82","deterministic","100","5470","11.747826219395593","15.490275669944875","5470","877","100","5470"
"239","1.39","3.82","deterministic","100","6648","13.115886054618056","13.143310971169289","6648","942","100","6648"
"247","1.41","0","deterministic","100","1536","9.366082778259548","50.19159482521967","1536","42","100","1536"
"248","1.41","0","deterministic","100","1555","14.70840740734112","50.19159482521968","1555","42","100","1555"
"249","1.41","1","deterministic","100","1563","22.918755300452045","8.087012609041993","1563","50","100","1563"
"250","1.41","1","deterministic","100","1504","10.658958038888368","9.806601391633794","1504","76","100","1504"
"245","1.4","3.82","deterministic","100","6191","12.32474625010209","15.307457309484498","6191","1063","100","6191"
"253","1.42","0","deterministic","100","1648","2.755665984276658","50.54756358284536","1648","42","100","1648"
"246","1.4","3.82","deterministic","100","6851","12.22832518371789","17.172480898834653","6851","1138","100","6851"
"254","1.42","0","deterministic","100","1492","12.909079861679848","50.547563582845385","1492","42","100","1492"
"255","1.42","1","deterministic","100","1613","6.477073730663335","6.869616488953712","1613","44","100","1613"
"256","1.42","1","deterministic","100","1371","14.419731201238548","28.36353079996241","1371","200","100","1371"
"251","1.41","3.82","deterministic","100","6332","12.401250733513207","14.088494124385853","6332","859","100","6332"
"252","1.41","3.82","deterministic","100","6066","12.0409371385571","11.37390093792153","6066","605","100","6066"
"260","1.43","0","deterministic","100","1760","16.70419271945896","50.90353234047104","1760","42","100","1760"
"259","1.43","0","deterministic","100","1736","15.117634641995213","50.903532340471045","1736","42","100","1736"
"261","1.43","1","deterministic","100","1369","15.725413197498835","5.191959963707463","1369","46","100","1369"
"262","1.43","1","deterministic","100","1583","8.881207689030747","26.36696112984231","1583","190","100","1583"
"257","1.42","3.82","deterministic","100","6953","11.946123899677355","14.683423130850525","6953","878","100","6953"
"258","1.42","3.82","deterministic","100","6592","12.817878453186559","13.732631339241632","6592","850","100","6592"
"265","1.44","0","deterministic","100","1709","2.822372143712683","51.25950109809668","1709","42","100","1709"
"266","1.44","0","deterministic","100","1475","13.716210543713268","51.259501098096706","1475","42","100","1475"
"267","1.44","1","deterministic","100","1418","9.466727358912175","8.825785211433665","1418","46","100","1418"
"263","1.43","3.82","deterministic","100","5901","12.728706254764196","14.950107131415255","5901","1040","100","5901"
"268","1.44","1","deterministic","100","1884","15.968067498982307","25.809972476562344","1884","185","100","1884"
"264","1.43","3.82","deterministic","100","6274","13.474989812290845","15.213842814064506","6274","823","100","6274"
"271","1.45","0","deterministic","100","1661","29.884978334642366","50.2793947855117","1661","41","100","1661"
"272","1.45","0","deterministic","100","1536","31.212139680214698","50.2793947855117","1536","41","100","1536"
"273","1.45","1","deterministic","100","1560","6.4214106248452785","8.392408739873884","1560","42","100","1560"
"269","1.44","3.82","deterministic","100","4958","11.957745847092657","12.629832041839556","4958","605","100","4958"
"274","1.45","1","deterministic","100","1584","15.753798930750836","4.154750874259683","1584","42","100","1584"
